key;comment;text
app_name;The name of the App;LEGO® Life
all_on;Settings screen: On / Off label, on state name;On
all_off;Settings screen: On / Off label, off state name;Off
all_loginButton;Login button name, shared across the app;Log in
all_logoutButton;Logout button name, shared across the app;Log out
all_anonymousUsername;If user has no displayname set, then they become anonymous;Mysterious!
all_registerButton;Create Account button name, shared across the app;Sign up!
all_try_again;Try again;Try again
errorDialog_commonErrorTitle;Title for all error messages;Oops!
errorDialog_commonErrorDescription;Description for all error messages;Something weird happened. Please try again.
errorDialog_noNetworkErrorDescription;Description for no internet message;Check your connection...
errorDialog_noNetworkErrorTitle;Title for no internet message;Not Online!
errorDialog_commonErrorAction;Call to action button title for all error messages;Will do!
errorDialog_noNetworkErrorAction;Call to action button title for all no internet messages;I'll check!
welcomeScreen_forParentsButton;For parent button title, Welcome Screen;Grown ups!
uploadFlowScreen_previewStep_keepPrivateButton;Preview album, save locally button title, upload flow;Keep Private
uploadFlowScreen_previewStep_uploadButton;Preview album, share album button title, upload flow;Share it!
uploadFlowScreen_decorateChallengeStep_headline;Choose a photo to decorate, headline, decorate challenge;Pick a photo to decorate
uploadFlowScreen_cameraRollStep_title;Camera roll, top title, upload flow;All your images
uploadFlowScreen_retakeImageDialogTitle;Retake dialog;Retake photo?
uploadFlowScreen_retakeImageDialogDescriptionTop;Retake dialog;Wait! Going back your photo will be lost. Are you sure?
uploadFlowScreen_retakeImageDialogActionRight;Retake dialog;Retake
uploadFlowScreen_deleteImageDialogTitle;Delete image popup, title;Delete your creation?
uploadFlowScreen_deleteImageDialogDescriptionTop;Delete image popup, description 1;Wait! Do you want to delete this piece of awesomeness?
uploadFlowScreen_cancelDialogActionLeft;Delete album popup, no button title;No! Keep it!
uploadFlowScreen_cancelDialogActionRight;Delete album popup, yes button title;Delete
uploadFlowScreen_savedDialogTitle;Album saved locally popup, title;All saved!
uploadFlowScreen_savedDialogDescriptionBottom;Album saved locally popup, description;Only you can see this - you can see it and share it in your profile.
uploadFlowScreen_savedDialogAction;Album saved locally popup, ok button title;OK!
permissionDialog_accessToCameraTitle;Access to camera popup, title;Using the Camera
permissionDialog_accessToCameraDescriptionTop;Access to camera popup, description 1;The app will now ask for access to your camera
permissionDialog_accessToCameraDescriptionBottom;Access to camera popup, description 2;Select OK in order to take pictures with the LEGO® Life app in the next pop-up!
permissionDialog_accessToCameraActionButton;Access to camera popup, button title;OK!
permissionDialog_deniedAllTitle;No permissions popup, title;We need permission!
permissionDialog_deniedCameraDescriptionTop;No camera permission popup, description;To take pictures, the app needs to access your camera.
permissionDialog_deniedAllDescriptionBottom;No camera or photos permissions popup, description ;"To give the app access, go to ""Permissions"" under app settings."
permissionDialog_deniedAllActionLeft;No camera or photos permissions popup, cancel button title;No thanks!
permissionDialog_deniedAllActionRight;No camera or photos permissions popup, ok button title;Go to Settings!
goToPlayStoreDialog_description;Go to Play Store popup, description;Opening the Play Store…
goToPlayStoreDialog_title;Go to Play Store popup, title;Redirect to Play Store
goToPlayStoreDialog_actionLeft;Go to Play Store popup, cancel button title;Stay here
